gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,total,average
female,group B,bachelor's degree,standard,none,218,72.66666666666667
female,group C,some college,standard,completed,247,82.33333333333333
female,group B,master's degree,standard,none,278,92.66666666666667
male,group A,associate's degree,free/reduced,none,148,49.333333333333336
male,group C,some college,standard,none,229,76.33333333333333
female,group B,associate's degree,standard,none,232,77.33333333333333
female,group B,some college,standard,completed,275,91.66666666666667
male,group B,some college,free/reduced,none,122,40.666666666666664
male,group D,high school,free/reduced,completed,195,65.0
female,group B,high school,free/reduced,none,148,49.333333333333336
male,group C,associate's degree,standard,none,164,54.666666666666664
male,group D,associate's degree,standard,none,135,45.0
female,group B,high school,standard,none,219,73.0
male,group A,some college,standard,completed,220,73.33333333333333
female,group A,master's degree,standard,none,161,53.666666666666664
female,group C,some high school,standard,none,222,74.0
male,group C,high school,standard,none,263,87.66666666666667
female,group B,some high school,free/reduced,none,78,26.0
male,group C,master's degree,free/reduced,completed,134,44.666666666666664
female,group C,associate's degree,free/reduced,none,173,57.666666666666664
male,group D,high school,standard,none,198,66.0
female,group B,some college,free/reduced,completed,210,70.0
male,group D,some college,standard,none,151,50.333333333333336
female,group C,some high school,standard,none,215,71.66666666666667
male,group D,bachelor's degree,free/reduced,completed,225,75.0
male,group A,master's degree,free/reduced,none,219,73.0
male,group B,some college,standard,none,178,59.333333333333336
female,group C,bachelor's degree,standard,none,211,70.33333333333333
male,group C,high school,standard,none,205,68.33333333333333
female,group D,master's degree,standard,none,207,69.0
female,group D,some college,standard,none,217,72.33333333333333
female,group B,some college,standard,none,189,63.0
female,group E,master's degree,free/reduced,none,193,64.33333333333333
male,group D,some college,standard,none,120,40.0
male,group E,some college,standard,none,266,88.66666666666667
male,group E,associate's degree,standard,completed,241,80.33333333333333
female,group D,associate's degree,standard,none,238,79.33333333333333
female,group D,some high school,free/reduced,none,173,57.666666666666664
female,group D,associate's degree,free/reduced,completed,253,84.33333333333333
male,group B,associate's degree,free/reduced,none,170,56.666666666666664
male,group C,associate's degree,free/reduced,none,170,56.666666666666664
female,group C,associate's degree,standard,none,199,66.33333333333333
female,group B,associate's degree,standard,none,176,58.666666666666664
male,group B,some college,free/reduced,completed,190,63.333333333333336
female,group E,associate's degree,free/reduced,none,160,53.333333333333336
male,group B,associate's degree,standard,none,176,58.666666666666664
female,group A,associate's degree,standard,completed,182,60.666666666666664
female,group C,high school,standard,none,213,71.0
female,group D,associate's degree,free/reduced,completed,207,69.0
male,group C,high school,standard,completed,248,82.66666666666667
male,group E,some college,standard,none,156,52.0
male,group E,associate's degree,free/reduced,completed,214,71.33333333333333
male,group C,some college,standard,none,139,46.333333333333336
male,group D,high school,standard,none,241,80.33333333333333
female,group C,some high school,free/reduced,completed,242,80.66666666666667
female,group C,high school,free/reduced,none,117,39.0
female,group E,associate's degree,standard,completed,253,84.33333333333333
male,group D,associate's degree,standard,none,156,52.0
male,group D,some college,standard,completed,175,58.333333333333336
female,group C,some high school,free/reduced,none,27,9.0
male,group E,bachelor's degree,free/reduced,completed,225,75.0
male,group A,some high school,free/reduced,none,112,37.333333333333336
male,group A,associate's degree,free/reduced,none,178,59.333333333333336
female,group C,associate's degree,standard,none,220,73.33333333333333
female,group D,some high school,standard,none,176,58.666666666666664
male,group B,some high school,standard,none,192,64.0
male,group D,some high school,free/reduced,none,119,39.666666666666664
female,group C,some college,standard,none,206,68.66666666666667
male,group B,associate's degree,free/reduced,none,175,58.333333333333336
